audio	sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue
221114-062550_nya_626_elicit_4.wav	bambo wina wovala malaya oyera ndi mbale ya chakudya wakhala panja pamipando yopinda pamodzi ndi kamtsikana kamene kamalemba 	16	12999	Female	toi
221102-094510_nya_510_elicit_6.wav	gulu la anthu ena atakhala ndipo ena atayima akuwoneka kuti akusangalala ndi phwando linalake popeza pali mitsinje ndi mabuloni ozungulira 	16	12999	Male	toi
221111-001809_nya_626_elicit_24.wav	munthu wovala zovala zoyera komanso zotchingira miyendo yoyera akuchita masewera olimbitsa thupi 	16	11661	Female	ngo
221114-051842_nya_626_elicit_47.wav	anthu awiri wina waimirira ndipo wina wopendekeka kutsogolo anayima padenga lalikulu la konkire lomwe lili ndi mitengo kumbuyo kwake 	16	15949	Female	toi
221030-173405_nya_394_elicit_10.wav	munthu wojambula zojambulajambula akusewera kulanda ndi galu woyera ndi khutu lakuda 	16	8394	Male	toi
221111-183608_nya_394_elicit_3.wav	anthu anai acikulile paubwezi awiri azibambo ndi awiri azimai akhala pamasitepi amwala panja pa nyumba yamabiliki 	16	12909	Male	toi
221101-154133_nya_394_elicit_43.wav	mwana wovala malaya alalanje akutsanulira legos m thumba lapulasitiki 	16	6919	Male	toi
221026-102358_nya_394_elicit_43.wav	munthu wokwera m chipale chofewa amalumpha kuchokera pamphepete mwa mapiri a chipale chofewa 	16	7849	Male	toi
221022-191952_nya_510_elicit_13.wav	anyamata awiri a blond mwina mapasa akutuluka m matumba akuluakulu okhala ndi zipi 	16	11162	Male	toi
221023-130745_nya_394_elicit_25.wav	mwamuna wovala jeans wabuluu ndi hoodie akupeza chomanga kuchokera pansi 	16	7600	Male	toi
221022-150736_nya_394_elicit_27.wav	mwamuna wovala thukuta la buluu komanso kapu yakuda ya baseball wanyamula kapepala 	16	7055	Male	eng
221030-145157_nya_394_elicit_17.wav	mkazi wa ku caucasus wokhala ndi chipewa chofiira cha ubweya mathalauza a khaki jekete imvi ndi nsapato zofiirira zoyenda pansi thumba lolemera la msasa pamsana pake ndi botolo la madzi mkati mwa thumba la thumba 	16	21235	Male	toi
221028-153920_nya_394_elicit_4.wav	gali yokongola yokhala ndi buluu pamwamba ndi yobiriwira yokhala ndi mitambo yapinki pansi itakhala kutsogolo kwa mpanda wakunyumba ndipo imalemba kuti jaguar kutsogolo 	16	17355	Male	toi
221101-122816_nya_394_elicit_9.wav	mnyamata ndi mtsikana adagona pabedi mkazi akupanga nkhope yonyansa 	16	6261	Male	toi
221030-015318_nya_394_elicit_35.wav	mnyamata watsitsi lalitali wandevu amatha kutsetsereka pa skateboarder 	16	6080	Male	toi
221010-174337_nya_97d_elicit_13.wav	mayi wovala jinzi ndi mkazi wovala kabudula akusisita mwana wa kangaroo 	16	9506	Female	toi
221023-170816_nya_394_elicit_24.wav	wapolisi akuthandiza wachinyamata wochita zionetsero kuti achoke pansi pomwe wochita ziwonetserozo akutsutsa thandizo lake 	16	11026	Male	toi
221111-202609_nya_626_elicit_15.wav	m masewera a baseball m modzi mwa osewerawo ali pafupi kuponya mpira wothamanga ali kumbuyo ndipo mnzake wa timu ali pafupi 	16	14474	Female	ngo
221111-185040_nya_394_elicit_6.wav	mzibambo wakala pa mpando pomwe wagwira nyama yaikulu m kango 	16	6602	Male	toi
221111-192914_nya_394_elicit_5.wav	azimai awiri amaonekedwe otenga mtima kutsogolo kwa sitolo aponya zingwinjili pansi kwa anthu ocita zinthu pa mseu 	16	11774	Male	toi
221113-073822_nya_394_elicit_43.wav	anthu awiri akuimba ndi kuvina mu bar pamaso pa anthu ambiri 	16	5626	Male	toi
221113-011513_nya_626_elicit_13.wav	munthu akuwuluka mumlengalenga pamene akukwera galimoto yopanda msewu mumsewu wafumbi 	16	10254	Female	bem
221112-004306_nya_626_elicit_27.wav	mtsikana wofiirira wovala chovala chofiirira komanso nsapato zofiira kudumpha ali m galimoto yapansi panthaka 	16	11094	Female	bem
221028-131629_nya_394_elicit_26.wav	anthu akuvina n kumaoneredwa ndi mwamuna yemwe wavala malaya akuti chitetezo 	16	7214	Male	toi
221111-213342_nya_626_elicit_16.wav	mnyamata akanyamula ndi kunyamula mfuti ya makina mnyamata wamkulu pang ono kuposa iye akuveka chipewa pamutu pake 	16	11820	Female	bem
221111-235753_nya_626_elicit_5.wav	khamu lalikulu la anthu ena okhala ndi mbendera zobiriwira zoyera ndi zofiirira zamizeremizere 	16	11797	Female	bem
221113-072748_nya_394_elicit_19.wav	gulu la volleyball likukonzekera masewera pambuyo pa mvula yamkuntho 	16	7940	Male	toi
221113-004108_nya_626_elicit_17.wav	munthu wovala t shirt yofiira thalauza la navy blue ndi chipewa cholimba amangiriridwa pa waya n kulumphira ku mpira wofiira 	16	14020	Female	bem
221026-111146_nya_394_elicit_43.wav	mnyamata akuyenda mozungulira tsinde la nyumba yake yomwe idamangidwa ndi miyala m mapazi ake opanda kanthu 	16	11593	Male	toi
221101-142343_nya_394_elicit_31.wav	kamtsikana kakang ono katsika pa slide yobiriwira ndi manja ake mmwamba pabwalo lamasewera 	16	9324	Male	toi
221113-010439_nya_626_elicit_24.wav	mbalame zingapo zokhala ndi malaya owerengeka zikuthamanga mozungulira njanji 	16	9029	Female	bem
221022-150736_nya_394_elicit_11.wav	amuna awiri akuyang anana kutsogolo ndi makina ounikira makompyuta 	16	6307	Male	eng
221111-233812_nya_626_elicit_2.wav	anthu ena ovala malaya abuluu akuimirira ndi zilembo zazikulu zomasulira mawu akuti krunch 	16	11275	Female	bem
221111-235753_nya_626_elicit_37.wav	gulu la anthu lasonkhana m mphepete mwa sitolo pafupi ndi msewu womwe uli ndi zinyalala 	16	8666	Female	bem
221023-130745_nya_394_elicit_6.wav	bambo wina akuthandiza mwamuna wina wovala kabudula wofiira kubweza kumbuyo pabwalo 	16	8280	Male	toi
221114-065237_nya_626_elicit_12.wav	galu akuthamanga ndi sprinkler mu udzu 	16	5331	Female	nya
221028-152630_nya_394_elicit_47.wav	bambo akuyenda kuchoka panyumba yokhala ndi khomo lalikulu ngati ngalande atanyamula chakumwa ndipo bambo amalowa pakhomo 	16	11275	Male	toi
221021-224449_nya_394_elicit_15.wav	azimayi awiri atakhala pa benchi nkhope zawo zidabisika ndipo mayi wina atanyamula nyalugwe wothamanga ndi mkazi wina atavala chovala choyera cha disney 	16	12682	Male	toi
221030-161731_nya_394_elicit_29.wav	masamba pa stand ndi anthu akudzuka chapansipansi 	16	6443	Male	toi
221111-191533_nya_394_elicit_2.wav	mnyamata ajumpa mbwali yamwala kuli kasupe wa madzi kutsogolo kwa nyumba 	16	7895	Male	toi
221114-065237_nya_626_elicit_32.wav	mayi wina wa ku japan wovala zovala zokongola akuyenda ndi mwamuna wina atavala zakuda n kudutsa nyumba yamatabwa 	16	13136	Female	nya
221114-065237_nya_626_elicit_8.wav	woyendetsa njinga akuyesa kulumpha pafupi ndi chitsamba ndi nyumba yamatabwa 	16	8712	Female	nya
221114-055325_nya_626_elicit_7.wav	oimba ena ovala zovala zachibadwidwe cha ku america akuimba zida zachikhalidwe 	16	10890	Female	toi
221028-164914_nya_510_elicit_28.wav	galimoto yamtundu wachikasu ikuyaka mphira pomwe bambo wina ali m galimotoyo watsitsi la blond akuyang ana tayala 	16	10663	Male	toi
221111-225532_nya_626_elicit_1.wav	mwamuna wina wovala malaya obiriwira ndi bandana yofiira ataphimba theka lakumtunda la nkhope yake wagona muudzu pamene njiwa ikuyenda pambali pake 	16	16516	Female	bem
221111-190309_nya_394_elicit_0.wav	wazaluso zokwera ndi thambo mwamba akwera phiri 	16	5150	Male	toi
221114-054111_nya_626_elicit_2.wav	galu wakuda ndi woyera akuthamangitsa galu wamkulu paudzu 	16	7237	Female	toi
221114-051842_nya_626_elicit_18.wav	anthu ambiri amakhala pa matebulo akuwerenga koma mwamuna mmodzi amaoneka ngati akugona 	16	9483	Female	toi
221018-125424_nya_e3d_elicit_25.wav	mayi wina wovala malaya ofiira ndi siketi yabulauni akuyang ana gulu la ana ali padziwe 	16	11321	Female	nya
221111-194707_nya_394_elicit_40.wav	mzimai wamalaya alalanje ndi zskunda ajumpa ndi manja ake kutsogolo nyanja yaikulu pa gombe 	16	9551	Male	toi
