audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-091210_nya_394_elicit_19.wav	anthu anayi akuthamanga mosiyanasiyana paphiri la chipale chofewa pamene galu akuthamangitsa mmodzi wa iwo mwamasewera 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-083438_nya_626_elicit_0.wav	kamtsikanako kakhala pampando wawung ono wa wicker wovala chovala chokongola chachikasu ndi choyera 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221101-154133_nya_394_elicit_28.wav	munthu wa snowboarder wovala chipewa chobiriwira akukwera m mphepete mwachitsulo 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221026-002221_nya_b6c_elicit_29.wav	mayi akutsamira khoma pamene kamera ikugwira ntchito pafupi naye 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-132751_nya_394_elicit_32.wav	patsiku la mvula pa kanjira kakang ono kozungulira kozungulira ndi udzu mnyamata wovala mathalauza ndi zingwe amakwera njinga yake 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221002-191144_nya_97d_elicit_17.wav	gulu la ana aang ono limayang ana gulu la ana okulirapo akusewera mpira mumsewu wa mumzinda 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-103809_nya_394_elicit_18.wav	wosewera mpira wovala malaya akuda ndi alalanje ndipo atavala magolovu amaponya mpirawo 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221029-163752_nya_394_elicit_24.wav	bambo wina wanyamula milu ya maluwa pamene galu wakhala m basiketi kumbuyo kwa njinga 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-085825_nya_626_elicit_34.wav	mayi wina wovala malaya oyera ndi mathalauza ofiira akulemba chinachake pamalo osungiramo zinthu zakale 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221112-004306_nya_626_elicit_39.wav	skateboarder watsitsi lalitali amawuluka pamwamba pa masitepe a simenti ndi bannister yachitsulo 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221025-231255_nya_b6c_elicit_20.wav	mwamuna wovala nsapato zofiira ndi akabudula osindikizira ofiira ndi oyera akuwonekera kutsogolo kwa miyala ndi madzi 	0
