audio	sentence
/scratch/skscla001/speech/data/nyagen/audio/221103-104838_nya_510_elicit_44.wav	anthu okhala ndi matumba akuyenda mumsewu wafumbi kutsogolo kwa nyumba yobiriwira 
/scratch/skscla001/speech/data/nyagen/audio/221113-005504_nya_626_elicit_34.wav	bambo wina wa ku asia akuphika mbale yomwe ikuyaka m khichini yamalonda 
/scratch/skscla001/speech/data/nyagen/audio/221114-063718_nya_626_elicit_48.wav	msungwana wamng ono wovala chovala chachikasu atayikidwa pabedi pozunguliridwa ndi maluwa 
/scratch/skscla001/speech/data/nyagen/audio/221027-134220_nya_510_elicit_10.wav	pali apolisi atatu okwera njinga kuwonetsetsa kuti misewu yapita kwa purezidenti 
/scratch/skscla001/speech/data/nyagen/audio/221101-174201_nya_394_elicit_25.wav	mwamuna wovala malaya alalanje ndi chisoti chabuluu akuthamanga panjinga yake 
/scratch/skscla001/speech/data/nyagen/audio/221111-180028_nya_394_elicit_39.wav	anthu asano oyendesa zisulo pa chisanu abvala zisote zolimba ndi magalasi ocinjiliza m maso imilira muzere pa chisanu kukoza muchile mogundira kusogolo kwa bvitsulo bvawo moyendera ndipo onse avala makabundula akunda oyenderamo pa chisanu ndiposo kucokera kumajere kufika ku kwanja la manja abvala koti akuda koti loyera koti lofiira koti labuluu ndi koti lakuda 
/scratch/skscla001/speech/data/nyagen/audio/221029-125840_nya_394_elicit_42.wav	kamnyamata kakugwada pansi ndikukankhira chidole m mphepete mwa msewu 
/scratch/skscla001/speech/data/nyagen/audio/221113-010439_nya_626_elicit_24.wav	mbalame zingapo zokhala ndi malaya owerengeka zikuthamanga mozungulira njanji 
/scratch/skscla001/speech/data/nyagen/audio/221110-230544_nya_626_elicit_14.wav	bambo wina wovala malaya a buluu wokhala ndi dzina m khosi mwake waima pafupi ndi bar pamene bambo wina waima pafupi ndi iye atavala malaya akuda ali pa foni yake 
/scratch/skscla001/speech/data/nyagen/audio/221114-051842_nya_626_elicit_34.wav	galimoto yokhala ndi zipatso zomwe zikugulitsidwa kwa anthu kasitomala wina akunyamula chipatso ndipo kamnyamata kakang ono kakujambula kamera 
/scratch/skscla001/speech/data/nyagen/audio/221103-101643_nya_510_elicit_19.wav	munthu wovala chigoba amagwada pansi n kunyamula choyatsira chounikira pamutu pake 
/scratch/skscla001/speech/data/nyagen/audio/221114-085825_nya_626_elicit_11.wav	munthu wandevu wovala jekete la ubweya akumwetulira chithunzi chakumbuyo kuli kowoneka bwino 
/scratch/skscla001/speech/data/nyagen/audio/221112-003159_nya_626_elicit_26.wav	bambo wina wazaka zapakati akukhala m malo ogwirira ntchito m mafakitale akuwerenga nyuzipepala 
/scratch/skscla001/speech/data/nyagen/audio/221111-234816_nya_626_elicit_7.wav	galu wa bulauni akudumpha panjira yotchinga m chipinda 
/scratch/skscla001/speech/data/nyagen/audio/221111-001809_nya_626_elicit_17.wav	anthu ambiri asonkhana pamodzi ndipo angapo a iwo akuyang ana mmwamba 
/scratch/skscla001/speech/data/nyagen/audio/221101-121530_nya_394_elicit_35.wav	mzere wa anyamata avala zovala za karati ndi malamba amitundu yosiyanasiyana 
