audio	sentence
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-173405_nya_394_elicit_21.wav	wokwera njinga yamoto panjira ya miyala ndi munthu yemwe ali ndi kamera kumbuyo komwe kuli mitengo mozungulira 
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-091210_nya_394_elicit_27.wav	mtsikana wavala zovala zakale ndipo wanyamula nkhwangwa atatsamira pamtengo 
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-081436_nya_394_elicit_9.wav	mayi wovala mathalauza achikasu akugwada pafupi ndi khanda lovala chovala chabuluu 
/scratch/skscla001/experiments/datasets/nyagen/audio/221101-142343_nya_394_elicit_16.wav	mwamuna waima kutsogolo kwa kanyumba kakang ono kamene kali ndi penti mtsikanayo ataima kutsogolo kwa nyanja ndi parasol 
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-065237_nya_626_elicit_7.wav	mwamuna wa ku asia wovala suti akukwera njinga yake mumsewu 
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-161731_nya_394_elicit_22.wav	mayi wamtundu wovala zovala zachikhalidwe atakhala pansi ndi zojambulajambula mu choko 
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-054111_nya_626_elicit_18.wav	ndege ikuchita zachinyengo mumlengalenga kusiya utsi kuseri kwa ndegeyo 
/scratch/skscla001/experiments/datasets/nyagen/audio/221029-160417_nya_394_elicit_7.wav	unyolo wonse pomwe mwamuna amatha kuwonedwa pamalo ogwirira ntchito 
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-095301_nya_394_elicit_28.wav	mayi wina wovala diresi lakuda ndipo wina atavala nsonga yotuwira komanso akabudula wobiriwira akuyenda mumsewu modzaza ndi anthu 
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-065237_nya_626_elicit_25.wav	apolisi awiri aima pafupi ndi wapolisi wina yemwe wakhala panjinga yamoto 
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-072554_nya_626_elicit_10.wav	mayi woyeretsa akuyenda mumsewu ndi makina osesa omwe amawoneka ngati polowera mnyumba 
