speaker_id	audio	sentence	gender	gender_domain	duration
2	221030-173405_nya_394_elicit_21	wokwera njinga yamoto panjira ya miyala ndi munthu yemwe ali ndi kamera kumbuyo komwe kuli mitengo mozungulira 	M	1	11.64
2	221113-091210_nya_394_elicit_27	mtsikana wavala zovala zakale ndipo wanyamula nkhwangwa atatsamira pamtengo 	M	1	8.14
2	221113-081436_nya_394_elicit_9	mayi wovala mathalauza achikasu akugwada pafupi ndi khanda lovala chovala chabuluu 	M	1	8.05
2	221101-142343_nya_394_elicit_16	mwamuna waima kutsogolo kwa kanyumba kakang ono kamene kali ndi penti mtsikanayo ataima kutsogolo kwa nyanja ndi parasol 	M	1	10.39
3	221114-065237_nya_626_elicit_7	mwamuna wa ku asia wovala suti akukwera njinga yake mumsewu 	F	0	7.12
2	221030-161731_nya_394_elicit_22	mayi wamtundu wovala zovala zachikhalidwe atakhala pansi ndi zojambulajambula mu choko 	M	1	10.84
3	221114-054111_nya_626_elicit_18	ndege ikuchita zachinyengo mumlengalenga kusiya utsi kuseri kwa ndegeyo 	F	0	11.34
2	221029-160417_nya_394_elicit_7	unyolo wonse pomwe mwamuna amatha kuwonedwa pamalo ogwirira ntchito 	M	1	5.81
2	221030-095301_nya_394_elicit_28	mayi wina wovala diresi lakuda ndipo wina atavala nsonga yotuwira komanso akabudula wobiriwira akuyenda mumsewu modzaza ndi anthu 	M	1	12.02
3	221114-065237_nya_626_elicit_25	apolisi awiri aima pafupi ndi wapolisi wina yemwe wakhala panjinga yamoto 	F	0	8.67
3	221114-072554_nya_626_elicit_10	mayi woyeretsa akuyenda mumsewu ndi makina osesa omwe amawoneka ngati polowera mnyumba 	F	0	13.2
2	221101-113540_nya_394_elicit_14	mayi wovala siketi yobiriwira akuyenda njira kudutsa paki 	M	1	5.1
2	221030-103809_nya_394_elicit_24	bambo akuthamanga m galimoto yaing ono pamene munthu wina akungolendewera kumbuyo 	M	1	7.53
2	221028-151132_nya_394_elicit_10	atavala jekete labulauni mpango wamitundumitundu ndi kachikwama mkazi wachikulire amayenda m mbali mwa msewu akuyang ana pansi pafupi ndi mtengo wobiriwira wokulungidwa ndi pulasitiki 	M	1	17.36
2	221030-155230_nya_394_elicit_20	anthu awiri aima m nkhalango kumanja kwa chipika chachikulu chobowoleredwa pamene anthu ena awiri akuyang ana kapepala kumbuyo kwawo 	M	1	14.36
2	221022-135414_nya_394_elicit_49	atsikana awiriwa avala ngati zithumwa ndipo akusewera panja pamasamba 	M	1	7.33
2	221026-111146_nya_394_elicit_16	munthu wakwera njovu pamene wina akugwira mutu wa njovu 	M	1	5.92
