audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/nyagen/audio/221026-135935_nya_394_elicit_8.wav	mwana mu malaya ofiira ndi thalauza amaika chidebe cha pulasitiki chobiriwira ndi mazira a isitala pamutu pake 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-061605_nya_626_elicit_27.wav	titha kuwona zovala zamkati zoyera za munthu yemwe adavala jersey yofiira ya mpira chifukwa akukweza kabudula wake 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221018-125424_nya_e3d_elicit_23.wav	munthu yemwe ali muzovala zothamanga komanso chisoti akusefukira ali pamalo otsetsereka 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-084828_nya_394_elicit_4.wav	nyani wina akudumphira pafupi ndi nyani wina pamwamba pa matabwa 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-144622_nya_394_elicit_48.wav	anthu omwe ali pakhonde akumulamulira munthu wa kabudula woyera ngati chidole 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-171512_nya_394_elicit_6.wav	galu wabulauni ndi woyera amalumphira pamtengo wofiirira ndi woyera m munda 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-235753_nya_626_elicit_30.wav	galu wokhala ndi malaya abulauni ndi oyera amathamanga m munda wa udzu wobiriwira kwambiri 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-145157_nya_394_elicit_43.wav	mayi wina wa ku asia waimirira pa kauntala ndipo wanyamula ndalama m manja mwake 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-051842_nya_626_elicit_31.wav	mtsikana wina watsitsi lakuda akumwetulira ku kamera atanyamula tizilombo 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221029-190025_nya_394_elicit_23.wav	mayi wina akumwetulira kamera atakhala patebulo lachidziwitso la kukoleji lokhala ndi zidziwitso mozungulira iye ndi timabuku tambiri patebulo patsogolo pake 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221025-225254_nya_b6c_elicit_1.wav	mwamuna wovala yunifolomu yamasewera a buluu yemwe ali ndi mpira wa basketball kudzanja lamanja akuyesa kugoletsa basiketi pomwe adatsekeredwa ndi wosewera wovala yunifolomu yoyera 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221026-002221_nya_b6c_elicit_47.wav	mphesa akugwedeza ndi kumwetulira kumbuyo kwa agalu ake omwe akuthamanga mu chipale chofewa 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-140213_nya_394_elicit_39.wav	bambo wina wachikulire akugona pa benchi yakale ya paki pafupi ndi msewu 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221022-142238_nya_394_elicit_27.wav	galu akumira m madzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-183608_nya_394_elicit_28.wav	mnyamata ocepa wabvala juzi ayangana mzere wa mabwato ambiri pa madzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-182436_nya_394_elicit_17.wav	mnyamata wazobvala zosambila zabuluu wasesereka pa coseserwkera ca cikhausu kulowa pa ziwe ndi zoseweretsa zoyangalala pa madzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-083438_nya_626_elicit_30.wav	mtsikana wina wovala malaya abuluu akuyenda m mbali mwa msewu ndipo atanyamula chikwangwani cha pinki cholembedwa kuti the rescue 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221026-002221_nya_b6c_elicit_23.wav	mnyamata wa jekete yakuda wayimirira pa dzanja lake pa rectangle ya checkered 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-105310_nya_394_elicit_47.wav	mtsikana wokhala ndi mawanga ndi ndolo zachitsulo amasangalala ndi chitumbuwa m nyumba 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221025-231255_nya_b6c_elicit_19.wav	mtsikana akuphika chakudya mu wok pamene akucheza ndi mkazi wina monga kachisi wounikira kwa bambo t akuyang ana 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-155230_nya_394_elicit_13.wav	anthu atatu akusewera nyimbo za rock mmodzi wa iwo wavala chipewa ndi thalauza lakuda ndi t shirt yakuda ndikuyimba ndi kuimba gitala 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-105310_nya_394_elicit_45.wav	mtsikana yemwe wavala diresi yofiyira ya madontho a polka ndi bandeji yofiyira kumutu akusewera ndi masewera onyamula m manja apinki 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-085825_nya_626_elicit_11.wav	munthu wandevu wovala jekete la ubweya akumwetulira chithunzi chakumbuyo kuli kowoneka bwino 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-192914_nya_394_elicit_13.wav	mnyamata mu kabudula was buluu ajumpa pa bedi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-144622_nya_394_elicit_3.wav	bambo yemwe ali ndi malaya oyera m mwamba ndi bulawuti woderapo akusewera ng oma 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-085051_nya_626_elicit_2.wav	mwana wamng ono akukweza mutu wake kumbuyo kwa phukusi lalikulu labulauni 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221101-175728_nya_394_elicit_12.wav	mayi wina atavala suti yosambira yapinki wanyamula cholowa cha badminton pomwe mayi wina akuyang ana 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-084253_nya_626_elicit_13.wav	galu wakuda ndi lilime lake lapinki akutuluka akuthamanga pamphepete mwa nyanja ndi galu woyera atavala kolala yofiira 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-123234_nya_394_elicit_13.wav	anyamata awiri aang ono akumwetulira atakhala pafupi ndi ngolo yolinganizidwa bwino yonyamula zipatso yonyamula maapulo mphesa plums ndi zipatso zina zosiyanasiyana 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-081628_nya_626_elicit_30.wav	mtsikana watsitsi lofiira akudumpha m mphepete mwa msewu pafupi ndi bakha woyera 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-164751_nya_394_elicit_26.wav	mwamuna wovala chipewa chakuda ndi malaya oyera akupalasa ngalawa pamadzi otseguka 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-072748_nya_394_elicit_38.wav	wapolisi wovala chipewa choyera vest yachikasu ndi mathalauza abuluu waima pamzerewu pomwe magalimoto oyaka moto angapo ofiira ndi achikasu ali mumsewu mbali zonse 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-073420_nya_626_elicit_2.wav	bambo wina wakhala pansanjika ya konkire ndipo njinga yake ili pambali pake pamene mwamuna wina akubwera kwa iye atagwira dzanja la mtsikana wamng ono n kunyamula mwana m mpaketi wakutsogolo 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-160514_nya_394_elicit_20.wav	mwamuna amakhala yekha ndi magolovesi pa tebulo lofiira lomwe limakhala ndi kiyibodi ndi zipangizo zambiri pamwamba pake 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221112-004306_nya_626_elicit_32.wav	mayi wina wachikulire wagwira mwamphamvu galu wamkulu woyera atakhala pampando waukulu wofiira kutsogolo kwa zipangizo zina zamagetsi 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-233812_nya_626_elicit_2.wav	anthu ena ovala malaya abuluu akuimirira ndi zilembo zazikulu zomasulira mawu akuti krunch 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221023-163538_nya_394_elicit_35.wav	munthu wavwala malaya ngakuti mambo ndi chifaniziro cha mwana ndi teddy bear 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-152551_nya_394_elicit_8.wav	galu woyera wovala malaya a zepra ndi mphuno mpaka mphuno ndi galu wakuda atavala kolala yapinki 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-151132_nya_394_elicit_46.wav	mnyamata yemwe ali ndi ndevu watsala pang ono kuyendetsa gokart yofiira kuchokera ku moto rent ku colonia 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-181315_nya_394_elicit_4.wav	anthu awiri ovala zovala zabuluu akugwirana manja moyandikana 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-222234_nya_626_elicit_20.wav	mbalame yotuwa ya m madzi yokhala ndi zizindikiro zakuda ndi zoyera ikuuluka pafupi ndi madzi 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-063718_nya_626_elicit_49.wav	mayi wina wanyamula mtolo waukulu wa mickey mouse minnie mouse ndi mabuloni a buzz lightyear pamene mwamuna wovala chipewa cha udzu akuyang ana 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221026-004257_nya_b6c_elicit_18.wav	mayi wakuda atavala malaya apinki akudya muffin akugulitsa abakha ndi zoseweretsa zina pamwambo wina wapadera 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-060739_nya_626_elicit_31.wav	mwamuna wovala zovala zokongola ndi ma cherries atasindikizidwa pamanja akukoka ngolo yokhala ndi matumba 	0
