audio	sentence
/scratch/skscla001/speech/data/nyagen/audio/221114-062550_nya_626_elicit_32.wav	mwamuna yemwe ali ndi malaya a logo ya monster akusewera mafunde 
/scratch/skscla001/speech/data/nyagen/audio/221111-194707_nya_394_elicit_14.wav	ka galu kamtundu ndi matu akulu katawa m mauzu 
/scratch/skscla001/speech/data/nyagen/audio/221113-173115_nya_626_elicit_32.wav	bambo wachikulire yemwe ali ndi masharubu otuwa atakhala pampando kutsogolo kwa tebulo laling ono kutsogolo kwa bizinesi 
/scratch/skscla001/speech/data/nyagen/audio/221114-065237_nya_626_elicit_32.wav	mayi wina wa ku japan wovala zovala zokongola akuyenda ndi mwamuna wina atavala zakuda n kudutsa nyumba yamatabwa 
/scratch/skscla001/speech/data/nyagen/audio/221030-145157_nya_394_elicit_19.wav	mnyamata wovala thukuta lofiira ndi magolovesi a new york giants akutsamira pa thanthwe lalikulu 
/scratch/skscla001/speech/data/nyagen/audio/221030-015318_nya_394_elicit_36.wav	anyamata awiri akuyesera kukwera miyala ikuluikulu 
/scratch/skscla001/speech/data/nyagen/audio/221030-154054_nya_394_elicit_42.wav	amuna awiri atakhala panjanji yapansi panthaka akuwerenga atavala malaya ndi mascarfu koma akuoneka kuti mathalauza awo anatha 
/scratch/skscla001/speech/data/nyagen/audio/221109-231342_nya_626_elicit_47.wav	bambo wina wovala jekete labulauni akutsogolera kavalo wakuda shire 
/scratch/skscla001/speech/data/nyagen/audio/221111-225532_nya_626_elicit_36.wav	mnyamata watsitsi labulauni atavala zovala zosewerera akuthamanga mwachangu ngati mpira wawung ono wabuluu woyera ndi wofiira uli paudzu kumbuyo kwake 
/scratch/skscla001/speech/data/nyagen/audio/221114-063718_nya_626_elicit_49.wav	mayi wina wanyamula mtolo waukulu wa mickey mouse minnie mouse ndi mabuloni a buzz lightyear pamene mwamuna wovala chipewa cha udzu akuyang ana 
/scratch/skscla001/speech/data/nyagen/audio/221112-003159_nya_626_elicit_28.wav	mwamuna wokhala ndi chipewa ndi malaya abulauni atayima pamtunda waudzu pafupi ndi mulu wa udzu kapena udzu pamtundu wina wa matabwa womangidwa pa kavalo wokhala ndi maunyolo 
