audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_1.wav	tsekwe wamkulu akugwedeza mapiko ake pamene akutuluka m madzi 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_3.wav	bambo akuyang ana pa kamera akujambula chithunzi ndi dzanja lake atakumbatira mayi yemwe akuyang ana kumbali 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_4.wav	galu woyera pamaso pa munthu amene waima m madzi akudumpha 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_5.wav	galu wabulauni wokhala ndi kolala wabulauni akukumba mumchenga 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_7.wav	oimba ena ovala zovala zachibadwidwe cha ku america akuimba zida zachikhalidwe 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_8.wav	pokhala ndi nsonga zokhotakhota chakumbuyo bambo wina wovala jinzi ndi t sheti yofiirira akudumphira pamutu pamilu ya matiresi okutidwa ndi mapepala 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_10.wav	oombeza njoka atatu aima mumsewu pamene wina amakoka njoka m bokosi ndipo njoka ina yaikulu ikubweza mutu wake kutsogolo 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_11.wav	mwamuna akudumpha njinga yofiira ndi yakuda mu park skate park 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_12.wav	mwamuna wovala zovala zazing ono akudumpha panjinga yofiira 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_13.wav	wokwera njinga yamoto yothamanga wagwa panjinga yake ndipo akutsetsereka pansi pomwe wokwera wina akuyendetsa kumbuyo 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_14.wav	azimayi akukwera pamahatchi m bwalo lamasewera atanyamula mbendera za canada ndi united states 	0
/scratch/skscla001/experiments/datasets/nyagen/audio/221114-055325_nya_626_elicit_16.wav	ng ombe yamphongo ikuthamangitsa wokwerapo pamene anyamata ena angapo akuyesera kuiletsa 	0
