audio	sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue
221109-231342_nya_626_elicit_46.wav	bambo wachikulire atavala malaya acheki atanyamula mitsuko yamkaka pogwiritsa ntchito goli 	16	11411	Female	ngo
221114-060739_nya_626_elicit_9.wav	mayi wovala chipewa choweta ng ombe komanso malaya apinki akukwera pahatchi pa mpikisano 	16	9369	Female	toi
221114-085051_nya_626_elicit_9.wav	pano pali chithunzi cha munthu akuyesa matenda pagalimoto mumdima 	16	9801	Female	toi
221114-090743_nya_626_elicit_20.wav	mphunzitsi wachikazi akuchenjeza ophunzira ake za khalidwe lawo kumalo osungiramo zinthu zakale ndikuwaitanira kuti asangalale 	16	16403	Female	toi
221113-002910_nya_626_elicit_32.wav	bambo wachikulire atavala t shirt yoyera akuthamanga kutsogolo kwa gulu la anthu atatu kumbuyo 	16	8984	Female	bem
221113-005504_nya_626_elicit_24.wav	mwamuna wovala suti yonyowa akusefukira pabwalo la mafunde obiriwira 	16	8462	Female	bem
221113-173115_nya_626_elicit_36.wav	munthu akugwa pa ng ombe yamphongo pa rodeo pamaso pa owonerera 	16	14406	Female	toi
221110-142630_nya_626_elicit_44.wav	wosewera nambala teni pa timu yoyera ya softball amaikidwa pansi ndi mtsikana wa timu ina 	16	12183	Female	ngo
221110-210505_nya_626_elicit_18.wav	mwamuna wavala chinthu chalalanje pachipewa chake atakwera njinga pamalo otanganidwa 	16	10890	Female	ngo
221111-235753_nya_626_elicit_21.wav	bambo wina amene waika pensulo m khutu akumeta thabwa 	16	6670	Female	bem
221114-070800_nya_626_elicit_25.wav	anthu angapo akuvina m makwalala a mumzinda ndipo anthu ambiri akumavina 	16	9619	Female	nya
221110-142630_nya_626_elicit_13.wav	osewera ankhonya akuyesera kupanga hits polunjika pa magulovu a mnzake 	16	10890	Female	ngo
221114-081628_nya_626_elicit_28.wav	mwamuna wina wovala mathalauza amtundu wa camo ndi malaya abuluu ndi oyera akuthamanga pamwamba pa konkriti ndi amuna ena atavala zomwezo akuthamanga kumbuyo kwake 	16	14610	Female	toi
221114-051842_nya_626_elicit_9.wav	mtsikana wamng ono akuchita masewera olimbitsa thupi m mphepete mwa nyanja pamene wina akuyenda mozama m mphepete mwa nyanja 	16	12614	Female	toi
221114-084253_nya_626_elicit_8.wav	mtsikana wamng ono wovala malaya abuluu akuyenda yekha pamalo oimika magalimoto achikasu 	16	8530	Female	toi
221114-054111_nya_626_elicit_14.wav	gulu la mbalame zoyera zimauluka pamene mbalame imodzi yakuda imaima pamchenga 	16	11094	Female	toi
221113-173115_nya_626_elicit_18.wav	mayi watsitsi lalifupi uyu amapeza magazini atsopano a people 	16	12818	Female	toi
221114-051842_nya_626_elicit_33.wav	mtsikana atavala thukuta la pinki ndi siketi yamizeremizere ya pinki ndi yoyera amasewera pamafunde pagombe 	16	10390	Female	toi
221113-002910_nya_626_elicit_46.wav	mwana wa blond mu jekete atakhala pamwamba pa slide pamalo osewerera 	16	6420	Female	bem
221002-202925_nya_97d_elicit_11.wav	woyendetsa njinga yamoto akwera njinga yamoto m munda waudzu womangidwa ndi mapiri 	16	11184	Female	toi
221114-071739_nya_626_elicit_8.wav	anthu atatu ovala ma parachuti akugwera limodzi mlengalenga 	16	5830	Female	toi
221114-055325_nya_626_elicit_24.wav	woseweretsa wovala malaya okongola komanso chipewa choweta ng ombe akukweza manja ake pagulu la anthu 	16	11797	Female	toi
221113-005504_nya_626_elicit_0.wav	ogwira ntchito angapo achi puerto rico ovala zipewa zotetezera za buluu ndi zovala zotetezera zalalanje aima pamaso pa mtsogoleri wawo atavala chipewa chotetezera chachikasu 	16	18898	Female	bem
221010-174337_nya_97d_elicit_13.wav	mayi wovala jinzi ndi mkazi wovala kabudula akusisita mwana wa kangaroo 	16	9506	Female	toi
221112-005507_nya_626_elicit_40.wav	mayi wina wokalamba akuyeretsa mazenera pasitolo pafupi ndi msewu 	16	9483	Female	bem
221112-005507_nya_626_elicit_5.wav	mtsikana wa ku asia wovala nsonga ya pinki ndi yakuda ya mizere yakuda akuyenda pafupi ndi mtsikanayo pamutu wotuwa 	16	15699	Female	bem
221113-002910_nya_626_elicit_48.wav	mwamuna ndi mkazi aima kutsogolo kwa nyumba yoyera ndikuyang ana manja awo 	16	7305	Female	bem
221110-210505_nya_626_elicit_16.wav	hatchi yakuda ndi wokwerapo wake akuchotsa kulumpha three pa mpikisano 	16	8984	Female	ngo
221111-214633_nya_626_elicit_24.wav	mayi wina atanyamula galu wakuda ndi woyera m mphepete mwa msewu kutsogolo kwa magalimoto oimika 	16	9551	Female	bem
221113-002910_nya_626_elicit_37.wav	bambo m modzi yemwe adayimilira ndi wina wokhala pansi mumsewu wa konkriti pama foni am manja onse atavala zipewa zophatikizika komanso zovala zakhaki zomasuka 	16	22165	Female	bem
221112-005507_nya_626_elicit_49.wav	munthu akusuzumira pazipangizo zake zowonera zinthu akuyang ana chinachake m chizimezime 	16	13907	Female	bem
221111-001809_nya_626_elicit_10.wav	mwamuna wazaka zapakati wovala malaya oyera kabudula wakuda ndi chipewa choyera akuthamanga pamsewu 	16	12818	Female	ngo
221111-225532_nya_626_elicit_21.wav	anthu awiri akuuluka akuuluka kuchokera pachoulukira chofiira choyera ndi chakuda chokhala ndi thambo lamtambo wabuluu kumbuyo kwawo 	16	15495	Female	bem
221113-005504_nya_626_elicit_14.wav	bambo wina waima kutsogolo kwa sitolo ya njerwa atavala jekete yakuda 	16	8076	Female	bem
221114-062550_nya_626_elicit_28.wav	anyamata awiri woyera ndi wina wakuda aimirira atakumbatirana 	16	7237	Female	toi
221111-222234_nya_626_elicit_7.wav	bambo wina amene ali ndi chakumwa cham chitini waima pansi pa mathithi 	16	7305	Female	bem
221111-202609_nya_626_elicit_14.wav	mwamuna ndi mkazi akuyang anizana atakhala pamwamba pa ngalande yotchingidwa ndi njerwa pamwamba pa ngalande yakuda 	16	12115	Female	ngo
221114-081628_nya_626_elicit_18.wav	anyamata atatu akudumphira m mwamba nthawi imodzi n kumaimirira chithunzicho pamene gulu la anthu likuyimirira n kumawazungulira m mphepete mwa nyanjayo 	16	20169	Female	toi
221111-001809_nya_626_elicit_17.wav	anthu ambiri asonkhana pamodzi ndipo angapo a iwo akuyang ana mmwamba 	16	9369	Female	ngo
221113-173115_nya_626_elicit_17.wav	wosewera mpira wachinyamata akuthamangitsa mpira ali ndi wosewera wina kumanja 	16	11162	Female	toi
221113-002910_nya_626_elicit_29.wav	nsalu yoyera ikunyamuka m madzi 	16	4174	Female	bem
221109-231342_nya_626_elicit_44.wav	bambo wina akuyendetsa gulu loimba ndi anthu akuimba zida zoimbira kumbuyo 	16	9301	Female	ngo
221114-083438_nya_626_elicit_6.wav	mtsikana amene wavala malaya achikasu ndi kabudula woyera akuwerenga buku atakhala pa benchi ya m paki 	16	9619	Female	toi
221002-191144_nya_97d_elicit_13.wav	mnyamata yemwe ali ndi visor akusewera mpira ndi mleme wake mumsewu 	16	8303	Female	toi
221113-010439_nya_626_elicit_28.wav	bambo wina wathyola njinga yake yothamanga mu dothi ndipo owonera asanu kumbuyo kwa chingwe 	16	8394	Female	bem
221113-001849_nya_626_elicit_0.wav	galu wabulauni akuthamanga m chipale chofewa ndi galu wamng ono wakuda akuthamanga kumbuyo kwake 	16	9732	Female	bem
221114-051842_nya_626_elicit_23.wav	mwamuna wovala malaya oyera ndi kabudula wamizeremizere akusewera chiwalo choonedwa ndi munthu wovala malaya achikasu 	16	12500	Female	toi
221113-002910_nya_626_elicit_35.wav	amuna awiri akukambitsirana kutsogolo kwa khoma lolembapo zithunzi ndi anyamata awiri kumbuyo 	16	12115	Female	bem
221111-234816_nya_626_elicit_30.wav	wosewera mpira wa tenesi yemwe wavala chovala chobiriwira kumutu ali wokonzeka kumenya mpira 	16	9165	Female	bem
221114-054111_nya_626_elicit_48.wav	katswiri wina wochita masewera a mpira akugwedeza chimenye chake pofuna kumenya mpira womwe ukubwera 	16	13521	Female	toi
221113-010439_nya_626_elicit_31.wav	galu wabulauni atanyamula chinthu mkamwa akudutsa panja udzu wautali wokutidwa ndi chipale chofewa 	16	11411	Female	bem
