audio	sentence
/scratch/skscla001/speech/data/nyagen/audio/221109-231342_nya_626_elicit_46.wav	bambo wachikulire atavala malaya acheki atanyamula mitsuko yamkaka pogwiritsa ntchito goli 
/scratch/skscla001/speech/data/nyagen/audio/221114-060739_nya_626_elicit_9.wav	mayi wovala chipewa choweta ng ombe komanso malaya apinki akukwera pahatchi pa mpikisano 
/scratch/skscla001/speech/data/nyagen/audio/221114-085051_nya_626_elicit_9.wav	pano pali chithunzi cha munthu akuyesa matenda pagalimoto mumdima 
/scratch/skscla001/speech/data/nyagen/audio/221114-090743_nya_626_elicit_20.wav	mphunzitsi wachikazi akuchenjeza ophunzira ake za khalidwe lawo kumalo osungiramo zinthu zakale ndikuwaitanira kuti asangalale 
/scratch/skscla001/speech/data/nyagen/audio/221113-002910_nya_626_elicit_32.wav	bambo wachikulire atavala t shirt yoyera akuthamanga kutsogolo kwa gulu la anthu atatu kumbuyo 
/scratch/skscla001/speech/data/nyagen/audio/221113-005504_nya_626_elicit_24.wav	mwamuna wovala suti yonyowa akusefukira pabwalo la mafunde obiriwira 
/scratch/skscla001/speech/data/nyagen/audio/221113-173115_nya_626_elicit_36.wav	munthu akugwa pa ng ombe yamphongo pa rodeo pamaso pa owonerera 
/scratch/skscla001/speech/data/nyagen/audio/221110-142630_nya_626_elicit_44.wav	wosewera nambala teni pa timu yoyera ya softball amaikidwa pansi ndi mtsikana wa timu ina 
/scratch/skscla001/speech/data/nyagen/audio/221110-210505_nya_626_elicit_18.wav	mwamuna wavala chinthu chalalanje pachipewa chake atakwera njinga pamalo otanganidwa 
/scratch/skscla001/speech/data/nyagen/audio/221111-235753_nya_626_elicit_21.wav	bambo wina amene waika pensulo m khutu akumeta thabwa 
/scratch/skscla001/speech/data/nyagen/audio/221114-070800_nya_626_elicit_25.wav	anthu angapo akuvina m makwalala a mumzinda ndipo anthu ambiri akumavina 
/scratch/skscla001/speech/data/nyagen/audio/221110-142630_nya_626_elicit_13.wav	osewera ankhonya akuyesera kupanga hits polunjika pa magulovu a mnzake 
/scratch/skscla001/speech/data/nyagen/audio/221114-081628_nya_626_elicit_28.wav	mwamuna wina wovala mathalauza amtundu wa camo ndi malaya abuluu ndi oyera akuthamanga pamwamba pa konkriti ndi amuna ena atavala zomwezo akuthamanga kumbuyo kwake 
/scratch/skscla001/speech/data/nyagen/audio/221114-051842_nya_626_elicit_9.wav	mtsikana wamng ono akuchita masewera olimbitsa thupi m mphepete mwa nyanja pamene wina akuyenda mozama m mphepete mwa nyanja 
/scratch/skscla001/speech/data/nyagen/audio/221114-084253_nya_626_elicit_8.wav	mtsikana wamng ono wovala malaya abuluu akuyenda yekha pamalo oimika magalimoto achikasu 
/scratch/skscla001/speech/data/nyagen/audio/221114-054111_nya_626_elicit_14.wav	gulu la mbalame zoyera zimauluka pamene mbalame imodzi yakuda imaima pamchenga 
/scratch/skscla001/speech/data/nyagen/audio/221113-173115_nya_626_elicit_18.wav	mayi watsitsi lalifupi uyu amapeza magazini atsopano a people 
/scratch/skscla001/speech/data/nyagen/audio/221114-051842_nya_626_elicit_33.wav	mtsikana atavala thukuta la pinki ndi siketi yamizeremizere ya pinki ndi yoyera amasewera pamafunde pagombe 
/scratch/skscla001/speech/data/nyagen/audio/221113-002910_nya_626_elicit_46.wav	mwana wa blond mu jekete atakhala pamwamba pa slide pamalo osewerera 
/scratch/skscla001/speech/data/nyagen/audio/221002-202925_nya_97d_elicit_11.wav	woyendetsa njinga yamoto akwera njinga yamoto m munda waudzu womangidwa ndi mapiri 
/scratch/skscla001/speech/data/nyagen/audio/221114-071739_nya_626_elicit_8.wav	anthu atatu ovala ma parachuti akugwera limodzi mlengalenga 
/scratch/skscla001/speech/data/nyagen/audio/221114-055325_nya_626_elicit_24.wav	woseweretsa wovala malaya okongola komanso chipewa choweta ng ombe akukweza manja ake pagulu la anthu 
/scratch/skscla001/speech/data/nyagen/audio/221113-005504_nya_626_elicit_0.wav	ogwira ntchito angapo achi puerto rico ovala zipewa zotetezera za buluu ndi zovala zotetezera zalalanje aima pamaso pa mtsogoleri wawo atavala chipewa chotetezera chachikasu 
