audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-092355_nya_394_elicit_33.wav	gulu la okwera pamwamba pa mapiri akuyang ana dzuwa 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-181340_nya_394_elicit_32.wav	anyanchito ozima moto wocepa abvala majakete kunda acikhausu ndi apinki aimilira pafupi ndi talaki yanchito 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-181315_nya_394_elicit_12.wav	bamboyo amanyamula chikwama chachikulu pamene akuyenda m dera lokutidwa ndi chipale chofewa 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221026-115610_nya_394_elicit_3.wav	mayi wovala chovala chakuda waima pafupi ndi m mphepete mwa thanthwe akujambula zithunzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-144622_nya_394_elicit_39.wav	mnyamata wakuda paphiri m dziko lachilendo akuloza chinachake 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-185040_nya_394_elicit_34.wav	galu woyera ndi kunda atamanga m munda wa mumauzu ozenguriradwa ndi moanda woyera 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221030-123234_nya_394_elicit_16.wav	woyimba wadazi wovala malaya akuda akuyimba gitala pa siteji 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221029-175401_nya_394_elicit_4.wav	bambo wina wovala yunifolomu ya buluu amagwira ntchito pafupi ndi sitima m njanji 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-072748_nya_394_elicit_43.wav	mayi wina ndi ana ang onoang ono awiri akhala pa benchi ya m paki ndi nkhunda kumapazi awo 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221029-163752_nya_394_elicit_39.wav	wothandizira ndege wa ku asia akuyang anira anthu omwe ali m ndege 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221028-134716_nya_394_elicit_40.wav	anthu ambiri ovala leotards asiliva amakwera njinga mumsewu 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221113-081436_nya_394_elicit_1.wav	mtsikana wina watsitsi lalitali labulauni akabudula oyera malaya apinki ndi nsapato zapinki amayenda pa swinglo likalowa dzuwa 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221111-190309_nya_394_elicit_30.wav	mtsikana mu zobvala zotsambilamo ajumpa pa gombe kutsogolo kwa madzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221029-161925_nya_394_elicit_28.wav	munthu waima akuimba gitala pamene wina wakhala kumbuyo kwake akumwetulira ndi kuonera 	1
