audio	sentence
/scratch/skscla001/speech/data/nyagen/audio/221030-101143_nya_394_elicit_36.wav	mayi wina yemwe wavala chipewa chandalama komanso mpango wapinki akuimba choimbira chofanana ndi ng oma pafupi ndi kamtengo kakang ono pomwe ena angapo atayima kumbuyo 
/scratch/skscla001/speech/data/nyagen/audio/221030-154054_nya_394_elicit_39.wav	anthu asanu ndi atatu akuyesera kukoka thirakitala ndi chingwe 
/scratch/skscla001/speech/data/nyagen/audio/221029-125840_nya_394_elicit_48.wav	mtsikana wina yemwe ali ndi chipewa chokhala ndi uta wawukulu wa pinki akuima yekha pamsewu pafupi ndi tebulo ndi zipatso ndi madzi a zipatso 
/scratch/skscla001/speech/data/nyagen/audio/221113-092355_nya_394_elicit_3.wav	bambo wina wovala mathalauza akuda malaya akuda komanso chipewa chalalanje akumamatira pepala la phula padenga pogwiritsa ntchito mfuti ya misomali 
/scratch/skscla001/speech/data/nyagen/audio/221023-130745_nya_394_elicit_17.wav	mayi wina wovala nsonga yofiira waima pambali pa tebulo lokhala ndi zakudya zosiyanasiyana 
/scratch/skscla001/speech/data/nyagen/audio/221101-122816_nya_394_elicit_9.wav	mnyamata ndi mtsikana adagona pabedi mkazi akupanga nkhope yonyansa 
/scratch/skscla001/speech/data/nyagen/audio/221111-185040_nya_394_elicit_17.wav	mzibambo wagona pa benchi panja pomwepo pali galu la loyera ndi lakunda zikhale pafupi 
/scratch/skscla001/speech/data/nyagen/audio/221028-152630_nya_394_elicit_10.wav	kamtsikana kakang ono katakhala panja pa bulangeti la mtundu wa paisley atavala malaya achikasu thalauza lamaluwa logwirizana ndi maluwa komanso atanyamula chipewa choyera 
/scratch/skscla001/speech/data/nyagen/audio/221101-175728_nya_394_elicit_14.wav	mnyamata wovala malaya amizeremizere akusewera mpira m paki yaudzu kutsogolo kwa tchire 
/scratch/skscla001/speech/data/nyagen/audio/221030-133842_nya_394_elicit_30.wav	pali anthu atatu atayima mu gawo lazogulitsa m sitolo 
/scratch/skscla001/speech/data/nyagen/audio/221026-152356_nya_394_elicit_39.wav	mbalame yakuda ndi yoyera yokhala ndi milomo yalalanje m madzi yokhala ndi miyala yozungulira 
/scratch/skscla001/speech/data/nyagen/audio/221030-142923_nya_394_elicit_2.wav	munthu wovala malaya akuyenda m chipale chofewa ndi kuwala kwa nyali ya mumsewu 
